,Model,Threshold,PC,PCS,AUC,AUC+
0,f1,1.0,0.071317473,0.5830338519285075,0.9364121633077837,0.9420073784341584
1,f2,1.0,0.071317473,0.5830338519285075,0.9364121633077837,0.9420073784341584
2,f3,1.0,0.071317473,0.5830338519285075,0.9364121633077837,0.9420073784341584
3,f4,1.0,0.071317473,0.5830338519285075,0.9364121633077837,0.9420073784341584
0,f1,2.0,0.071317473,0.5830338519285075,0.9364121633077837,0.9420073784341584
1,f2,2.0,0.071317473,0.5830338519285075,0.9364121633077837,0.9420073784341584
2,f3,2.0,0.071317473,0.5830338519285075,0.9364121633077837,0.9420073784341584
3,f4,2.0,0.071317473,0.5830338519285075,0.9364121633077837,0.9420073784341584
0,f1,3.0,0.077836395,0.6095980188087774,0.9352075235109718,0.9405868338557993
1,f2,3.0,0.077836395,0.6095980188087774,0.9352075235109718,0.9405868338557993
2,f3,3.0,0.077836395,0.6095980188087774,0.9352075235109718,0.9405868338557993
3,f4,3.0,0.077836395,0.6095980188087774,0.9352075235109718,0.9405868338557993
0,f1,4.0,0.08126933999999998,0.6227120202038959,0.9331442313048968,0.9382160962656217
1,f2,4.0,0.08126933999999998,0.6227120202038959,0.9331442313048968,0.9382160962656217
2,f3,4.0,0.08126933999999998,0.6227120202038959,0.9331442313048968,0.9382160962656217
3,f4,4.0,0.08126933999999998,0.6227120202038959,0.9331442313048968,0.9382160962656217
0,f1,5.0,0.10411008799999999,0.5523610002751789,0.9004024490919097,0.9058307821959274
1,f2,5.0,0.10411008799999999,0.5523610002751789,0.9004024490919097,0.9058307821959274
2,f3,5.0,0.10411008799999999,0.5523610002751789,0.9004024490919097,0.9058307821959274
3,f4,5.0,0.10411008799999999,0.5523610002751789,0.9004024490919097,0.9058307821959274
0,f1,6.0,0.113111924,0.5298580412401129,0.8905195954960908,0.8961577947637276
1,f2,6.0,0.113111924,0.5298580412401129,0.8905195954960908,0.8961577947637276
2,f3,6.0,0.113111924,0.5298580412401129,0.8905195954960908,0.8961577947637276
3,f4,6.0,0.113111924,0.5298580412401129,0.8905195954960908,0.8961577947637276
0,f1,7.0,0.125228474,0.4936089787137681,0.8776284290890268,0.8839791181418218
1,f2,7.0,0.125228474,0.4936089787137681,0.8776284290890268,0.8839791181418218
2,f3,7.0,0.125228474,0.4936089787137681,0.8776284290890268,0.8839791181418218
3,f4,7.0,0.125228474,0.4936089787137681,0.8776284290890268,0.8839791181418218
0,f1,8.0,0.132071386,0.47135709339513504,0.8704204041932346,0.8774291421000597
1,f2,8.0,0.132071386,0.47135709339513504,0.8704204041932346,0.8774291421000597
2,f3,8.0,0.132071386,0.47135709339513504,0.8704204041932346,0.8774291421000597
3,f4,8.0,0.132071386,0.47135709339513504,0.8704204041932346,0.8774291421000597
0,f1,9.0,0.14189596399999999,0.4299329318511436,0.8508583389243545,0.8593633869133948
1,f2,9.0,0.14189596399999999,0.4299329318511436,0.8508583389243545,0.8593633869133948
2,f3,9.0,0.14189596399999999,0.4299329318511436,0.8508583389243545,0.8593633869133948
3,f4,9.0,0.14189596399999999,0.4299329318511436,0.8508583389243545,0.8593633869133948
0,f1,10.0,0.148500844,0.39194819509958073,0.8351881878930818,0.8461576257861635
1,f2,10.0,0.148500844,0.39194819509958073,0.8351881878930818,0.8461576257861635
2,f3,10.0,0.148500844,0.39194819509958073,0.8351881878930818,0.8461576257861635
3,f4,10.0,0.148500844,0.39194819509958073,0.8351881878930818,0.8461576257861635
0,f1,11.0,0.149948544,0.37141934429115797,0.8334821484713961,0.8441549186547112
1,f2,11.0,0.149948544,0.37141934429115797,0.8334821484713961,0.8441549186547112
2,f3,11.0,0.149948544,0.37141934429115797,0.8334821484713961,0.8441549186547112
3,f4,11.0,0.149948544,0.37141934429115797,0.8334821484713961,0.8441549186547112
0,f1,12.0,0.15170904100000002,0.3382779633959103,0.8280933770674855,0.8364003943052551
1,f2,12.0,0.15170904100000002,0.3382779633959103,0.8280933770674855,0.8364003943052551
2,f3,12.0,0.15170904100000002,0.3382779633959103,0.8280933770674855,0.8364003943052551
3,f4,12.0,0.15170904100000002,0.3382779633959103,0.8280933770674855,0.8364003943052551
0,f1,13.0,0.15094205200000002,0.3063324816176469,0.8239338235294117,0.8306893382352941
1,f2,13.0,0.15094205200000002,0.3063324816176469,0.8239338235294117,0.8306893382352941
2,f3,13.0,0.15094205200000002,0.3063324816176469,0.8239338235294117,0.8306893382352941
