model,lat,lon,variable,lead_time,pc,pcs,tw_pc,tw_pcs,qw_pc,qw_pcs
pangu_operational,-87.18750000000003,0.0,10m_wind_speed,10,0.9944978691500729,0.08876751396181501,0.09286923354175834,0.039765716633633666,0.03642725658863363,0.08035181276961399
graphcast_operational,-87.18750000000003,0.0,10m_wind_speed,10,0.9728103066503363,0.10863926241476345,0.09182457121700928,0.05056714720982345,0.03613619613071351,0.0876999703737803
hres,-87.18750000000003,0.0,10m_wind_speed,10,0.991126014407136,0.0918570566096961,0.09437368650819042,0.024210217131952767,0.037148323382025256,0.0621476483192626
pangu_operational,-87.18750000000003,5.625,10m_wind_speed,10,0.9869831630460765,0.08484031906029654,0.09641153094758231,0.039204309428618814,0.03556773750457482,0.08518728632991773
graphcast_operational,-87.18750000000003,5.625,10m_wind_speed,10,0.9721822492615719,0.09856415959151632,0.09495125747012441,0.05375676441411267,0.03548641928836362,0.0872788148684819
hres,-87.18750000000003,5.625,10m_wind_speed,10,0.9838907365726242,0.08770770741172478,0.09782861682040443,0.02508224346415112,0.036511576642453726,0.06091146493756816
pangu_operational,-87.18750000000003,11.25,10m_wind_speed,10,0.9773557927745692,0.07998677408553989,0.09006903429048049,0.03825525887870812,0.035036429970202565,0.07377621157245003
graphcast_operational,-87.18750000000003,11.25,10m_wind_speed,10,0.9655560655729106,0.09109419798169359,0.08916691216648734,0.047887994651154224,0.03457973979688151,0.08584928245412399
hres,-87.18750000000003,11.25,10m_wind_speed,10,0.9754951677400967,0.08173823415037737,0.09131381435034706,0.02496366886822379,0.03543861784039691,0.06314396470517994
pangu_operational,-87.18750000000003,16.875,10m_wind_speed,10,0.9680813159331038,0.08277609131528245,0.08048933521823935,0.036862295688548645,0.03487824288415388,0.06571353032661999
graphcast_operational,-87.18750000000003,16.875,10m_wind_speed,10,0.9668655457786217,0.08392799191991442,0.08020641401853588,0.04024773891583587,0.03448389729324558,0.07627689933533705
hres,-87.18750000000003,16.875,10m_wind_speed,10,0.973572973751744,0.07757293351575699,0.0813703949825894,0.026319509162899754,0.03515110330486984,0.05840439494296421
pangu_operational,-87.18750000000003,22.5,10m_wind_speed,10,0.9786025129402942,0.08542172142332499,0.07862445497565322,0.04112016632743998,0.03549173916156894,0.06903699664253136
graphcast_operational,-87.18750000000003,22.5,10m_wind_speed,10,0.98271474382632,0.08157852973403415,0.07949670311136195,0.030482494529923816,0.035200402780490185,0.07667887046228655
hres,-87.18750000000003,22.5,10m_wind_speed,10,0.9903344558673937,0.07445733085131646,0.07972789606353883,0.02766293591297333,0.035935561098780794,0.05739536359260527
pangu_operational,-87.18750000000003,28.125,10m_wind_speed,10,1.0051690697925062,0.09252068362822832,0.08514333372675006,0.04425785382002505,0.036650639584144,0.0816474789543794
graphcast_operational,-87.18750000000003,28.125,10m_wind_speed,10,1.0059612095261041,0.09180552988392862,0.08629501896333955,0.031330075783116834,0.03670107574754273,0.0803837035241376
hres,-87.18750000000003,28.125,10m_wind_speed,10,1.0207376159790238,0.07846520373452272,0.08629970587725978,0.03127746472159249,0.03720611599540259,0.06772894524122174
pangu_operational,-87.18750000000003,33.75,10m_wind_speed,10,1.0429520901661173,0.09541865879109045,0.09201191346264537,0.0451852022088602,0.03840098419320454,0.09198744360344135
graphcast_operational,-87.18750000000003,33.75,10m_wind_speed,10,1.0408718789200027,0.09722288383340141,0.09276031683382703,0.03741896209245253,0.03809089234469628,0.09931973724115359
hres,-87.18750000000003,33.75,10m_wind_speed,10,1.0706186998004894,0.07142263914096686,0.09371209396807874,0.027542296584874382,0.039383969581925825,0.06874420923156747
pangu_operational,-87.18750000000003,39.375,10m_wind_speed,10,1.0818576725927842,0.08528149659929637,0.1026608080905539,0.04379594610977355,0.04012729217900476,0.094352290248978
graphcast_operational,-87.18750000000003,39.375,10m_wind_speed,10,1.0704360083093418,0.09493859653431547,0.10292233983563467,0.04135998520591399,0.039601243736036525,0.10622487226789476
hres,-87.18750000000003,39.375,10m_wind_speed,10,1.105876872627746,0.06497308888037066,0.10456462665849435,0.026063385199767967,0.04142398679415648,0.06508670952601364
pangu_operational,-87.18750000000003,45.0,10m_wind_speed,10,1.0904104423535028,0.08092612483392184,0.11068941071268769,0.04630666554482927,0.04124195249062487,0.08729377706480203
graphcast_operational,-87.18750000000003,45.0,10m_wind_speed,10,1.078254349331915,0.09117212678536689,0.11172794091467127,0.037358751513260645,0.04090760296010716,0.09469310902437271
hres,-87.18750000000003,45.0,10m_wind_speed,10,1.1092428915935462,0.06505282480888058,0.11294810465720312,0.026845893772812685,0.04267514742642224,0.055576415068450756
pangu_operational,-87.18750000000003,50.625,10m_wind_speed,10,1.0688041250511997,0.08685055442274828,0.11009047846216974,0.04511407352902191,0.04128734438313358,0.08943451383077379
graphcast_operational,-87.18750000000003,50.625,10m_wind_speed,10,1.0627931111148192,0.09198615777111675,0.11116245481563786,0.03581612925868132,0.04119922181186198,0.09137799973792704
hres,-87.18750000000003,50.625,10m_wind_speed,10,1.0888302709326048,0.06974090488076305,0.11238443744203952,0.025217083558794064,0.042711795771933674,0.05801916632547254
pangu_operational,-87.18750000000003,56.25,10m_wind_speed,10,1.043429604077205,0.09145506288157824,0.10679961681945987,0.048484766041716636,0.0401242391790523,0.1033384165364979
graphcast_operational,-87.18750000000003,56.25,10m_wind_speed,10,1.0368272294129368,0.09720394526975326,0.10834436386845152,0.0347220729394336,0.04060901245080942,0.09250512527993865
hres,-87.18750000000003,56.25,10m_wind_speed,10,1.063702834774949,0.07380256285905998,0.10919957243383518,0.02710271996413439,0.0420494578645269,0.06031530456351345
pangu_operational,-87.18750000000003,61.87499999999999,10m_wind_speed,10,1.0298346001651693,0.09715999422877213,0.10020456893712575,0.05489879789870588,0.03929330639400837,0.11395432405004341
graphcast_operational,-87.18750000000003,61.87499999999999,10m_wind_speed,10,1.0210463311151041,0.10486453326698987,0.10226179020067513,0.035495667784061824,0.040301169738214224,0.09122747716351537
hres,-87.18750000000003,61.87499999999999,10m_wind_speed,10,1.053008802232531,0.0768435310560599,0.103319299232251,0.025521541179091934,0.04184436489127734,0.05642914844035648
pangu_operational,-87.18750000000003,67.5,10m_wind_speed,10,1.0313334444008089,0.09960749658915913,0.09834251453711165,0.059308242703049845,0.03973230947363053,0.10852972635231123
graphcast_operational,-87.18750000000003,67.5,10m_wind_speed,10,1.0179997161417293,0.11124833790209412,0.10100292950207027,0.033860139811786066,0.03978826506033592,0.1072742558585692
hres,-87.18750000000003,67.5,10m_wind_speed,10,1.052574735575849,0.08106305837607988,0.10229340139485707,0.021516177708703624,0.04208257630014585,0.055796999794615665
