model,lat,lon,variable,lead_time,pc,pcs,tw_pc,tw_pcs,qw_pc,qw_pcs
pangu_operational,-87.18750000000003,0.0,2m_temperature,5,1.1315079580186314,0.8117617502004043,0.099126593629639,0.4989745977538451,0.04116004098948498,0.7895142289216793
graphcast_operational,-87.18750000000003,0.0,2m_temperature,5,1.1160917074421535,0.8143264056289616,0.1017602299330039,0.4856631478194964,0.03972193305337628,0.7968684795625623
hres,-87.18750000000003,0.0,2m_temperature,5,1.0941101262366915,0.817983272860536,0.08723933334519432,0.5590575598282913,0.04438516940049137,0.773021445530363
pangu_operational,-87.18750000000003,5.625,2m_temperature,5,1.1077813478035015,0.8151379285288894,0.09061188334128376,0.5044363332423779,0.039285945844744076,0.7989858450329309
graphcast_operational,-87.18750000000003,5.625,2m_temperature,5,1.0941476319798955,0.8174130678910005,0.09180010413671191,0.49793785828979126,0.03767120658353382,0.8072479713762057
hres,-87.18750000000003,5.625,2m_temperature,5,1.0625140031874818,0.8226919599379816,0.08126232849804821,0.5555697995142825,0.04217210536938026,0.7842182505288388
pangu_operational,-87.18750000000003,11.25,2m_temperature,5,1.1135433680630458,0.8130445937283624,0.08621512330348113,0.5238267728837706,0.03823711815639142,0.8034480324439263
graphcast_operational,-87.18750000000003,11.25,2m_temperature,5,1.0769477265999174,0.819188721755824,0.08617040436068259,0.5240737592881239,0.03699163649555896,0.8098502374947979
hres,-87.18750000000003,11.25,2m_temperature,5,1.0441543984272859,0.8246944704921108,0.07686934570341683,0.5754442723341657,0.04026572739941959,0.7930202816785885
pangu_operational,-87.18750000000003,16.875,2m_temperature,5,1.0987816695053225,0.8133478409995403,0.07696103096915073,0.5228700699025887,0.03709629014887578,0.8067561724114584
graphcast_operational,-87.18750000000003,16.875,2m_temperature,5,1.0414754582329837,0.8230825575087208,0.07635546056388896,0.5266243824617256,0.03561782590841077,0.814457861384497
hres,-87.18750000000003,16.875,2m_temperature,5,1.0271759074409985,0.8255116497498232,0.06913889438797997,0.5713644239047124,0.038406833282387344,0.7999292263658218
pangu_operational,-87.18750000000003,22.5,2m_temperature,5,1.059976010467175,0.8147496834226677,0.07000554077515315,0.5340431419303928,0.03529618137049029,0.8103390769179217
graphcast_operational,-87.18750000000003,22.5,2m_temperature,5,1.0007327240501571,0.8251035380905645,0.0677014718818039,0.5493790237825045,0.033835773733753995,0.818186448778128
