model,lat,lon,variable,lead_time,pc,pcs,tw_pc,tw_pcs,qw_pc,qw_pcs
pangu_operational,-87.18750000000003,0.0,mean_sea_level_pressure,5,217.11866491065788,0.6033559732175695,20.746747198290215,0.47932279876122497,8.247928397935889,0.5890849119644559
graphcast_operational,-87.18750000000003,0.0,mean_sea_level_pressure,5,204.84075613637722,0.6257859157501564,19.05794421628458,0.5217063686630581,7.184295936027149,0.6420755061640941
hres,-87.18750000000003,0.0,mean_sea_level_pressure,5,226.8079822634691,0.5856550083872388,22.184696945440574,0.4432348451792796,8.199747267364675,0.5914853151390612
pangu_operational,-87.18750000000003,5.625,mean_sea_level_pressure,5,217.59067968268658,0.6031809480942434,21.344469529862533,0.4547765989820472,8.220570378351276,0.5867812043598523
graphcast_operational,-87.18750000000003,5.625,mean_sea_level_pressure,5,206.40051990105235,0.623588387428031,19.18803494069117,0.5098605915420784,7.258776163955775,0.6351271741203933
hres,-87.18750000000003,5.625,mean_sea_level_pressure,5,228.22866393626197,0.5837805085540565,21.809132073140795,0.4429072530694033,8.314158647124751,0.5820768554000204
pangu_operational,-87.18750000000003,11.25,mean_sea_level_pressure,5,216.6808037396047,0.6066311630497847,20.891088410369704,0.42809029791998304,8.218528199261455,0.5841921776855169
graphcast_operational,-87.18750000000003,11.25,mean_sea_level_pressure,5,205.4321345692559,0.6270523348029383,18.783433491781935,0.4857889813441887,7.239774020758625,0.6337112197423458
hres,-87.18750000000003,11.25,mean_sea_level_pressure,5,229.30182479549816,0.5837185824787465,21.066485735122093,0.4232886605052958,8.447515672654122,0.5726067964177058
pangu_operational,-87.18750000000003,16.875,mean_sea_level_pressure,5,217.19074460862794,0.6090014941682099,19.52848909685579,0.42123549257265946,8.263316231717484,0.5810509332612985
graphcast_operational,-87.18750000000003,16.875,mean_sea_level_pressure,5,207.8305968754803,0.6258521375260584,17.618901544004014,0.47782980941581876,7.356944979123974,0.6270038388193998
hres,-87.18750000000003,16.875,mean_sea_level_pressure,5,230.26127945813053,0.58547121157819,19.394853808871243,0.42519603254283767,8.533339410657875,0.567360792929905
pangu_operational,-87.18750000000003,22.5,mean_sea_level_pressure,5,217.48460122167435,0.6072252225557353,18.709983522423585,0.4323693897300802,8.320777558561748,0.57512366719718
